Page Name,Testament
Genesis,[[Old Testament]]
Exodus,[[Old Testament]]
Leviticus,[[Old Testament]]
Numbers,[[Old Testament]]
Deuteronomy,[[Old Testament]]
Joshua,[[Old Testament]]
Judges,[[Old Testament]]
Ruth,[[Old Testament]]
1 Samuel,[[Old Testament]]
2 Samuel,[[Old Testament]]
1 Kings,[[Old Testament]]
2 Kings,[[Old Testament]]
1 Chronicles,[[Old Testament]]
2 Chronicles,[[Old Testament]]
Ezra,[[Old Testament]]
Nehemiah,[[Old Testament]]
Esther,[[Old Testament]]
Job,[[Old Testament]]
Psalm,[[Old Testament]]
Proverbs,[[Old Testament]]
Ecclesiastes,[[Old Testament]]
Song of Solomon,[[Old Testament]]
Isaiah,[[Old Testament]]
Jeremiah,[[Old Testament]]
Lamentations,[[Old Testament]]
Ezekiel,[[Old Testament]]
Daniel,[[Old Testament]]
Hosea,[[Old Testament]]
Joel,[[Old Testament]]
Amos,[[Old Testament]]
Obadiah,[[Old Testament]]
Jonah,[[Old Testament]]
Micah,[[Old Testament]]
Nahum,[[Old Testament]]
Habakkuk,[[Old Testament]]
Zephaniah,[[Old Testament]]
Haggai,[[Old Testament]]
Zechariah,[[Old Testament]]
Malachi,[[Old Testament]]
Matthew,[[New Testament]]
Mark,[[New Testament]]
Luke,[[New Testament]]
John,[[New Testament]]
Acts,[[New Testament]]
Romans,[[New Testament]]
1 Corinthians,[[New Testament]]
2 Corinthians,[[New Testament]]
Galatians,[[New Testament]]
Ephesians,[[New Testament]]
Philippians,[[New Testament]]
Colossians,[[New Testament]]
1 Thessalonians,[[New Testament]]
2 Thessalonians,[[New Testament]]
1 Timothy,[[New Testament]]
2 Timothy,[[New Testament]]
Titus,[[New Testament]]
Philemon,[[New Testament]]
Hebrews,[[New Testament]]
James,[[New Testament]]
1 Peter,[[New Testament]]
2 Peter,[[New Testament]]
1 John,[[New Testament]]
2 John,[[New Testament]]
3 John,[[New Testament]]
Jude,[[New Testament]]
Revelation,[[New Testament]]
