Page Name,Block
1 Chronicles 1,"1. Adam, Sheth, Enosh,"
1 Chronicles 1,"2. Kenan, Mahalaleel, Jered,"
1 Chronicles 1,"3. Henoch, Methuselah, Lamech,"
1 Chronicles 1,"4. Noah, Shem, Ham, and Japheth."
1 Chronicles 1,"5. The sons of Japheth; Gomer, and Magog, and Madai, and Javan, and Tubal, and Meshech, and Tiras."
1 Chronicles 1,"6. And the sons of Gomer; Ashchenaz, and Riphath, and Togarmah."
1 Chronicles 1,"7. And the sons of Javan; Elishah, and Tarshish, Kittim, and Dodanim."
1 Chronicles 1,"8. The sons of Ham; Cush, and Mizraim, Put, and Canaan."
1 Chronicles 1,"9. And the sons of Cush; Seba, and Havilah, and Sabta, and Raamah, and Sabtecha. And the sons of Raamah; Sheba, and Dedan."
1 Chronicles 1,10. And Cush begat Nimrod: he began to be mighty upon the earth.
1 Chronicles 1,"11. And Mizraim begat Ludim, and Anamim, and Lehabim, and Naphtuhim,"
1 Chronicles 1,"12. And Pathrusim, and Casluhim, (of whom came the Philistines,) and Caphthorim."
1 Chronicles 1,"13. And Canaan begat Zidon his firstborn, and Heth,"
1 Chronicles 1,"14. The Jebusite also, and the Amorite, and the Girgashite,"
1 Chronicles 1,"15. And the Hivite, and the Arkite, and the Sinite,"
1 Chronicles 1,"16. And the Arvadite, and the Zemarite, and the Hamathite."
1 Chronicles 1,"17. The sons of Shem; Elam, and Asshur, and Arphaxad, and Lud, and Aram, and Uz, and Hul, and Gether, and Meshech."
1 Chronicles 1,"18. And Arphaxad begat Shelah, and Shelah begat Eber."
1 Chronicles 1,19. And unto Eber were born two sons: the name of the one was Peleg; because in his days the earth was divided: and his brother's name was Joktan.
1 Chronicles 1,"20. And Joktan begat Almodad, and Sheleph, and Hazarmaveth, and Jerah,"
1 Chronicles 1,"21. Hadoram also, and Uzal, and Diklah,"
1 Chronicles 1,"22. And Ebal, and Abimael, and Sheba,"
1 Chronicles 1,"23. And Ophir, and Havilah, and Jobab. All these were the sons of Joktan."
